t,df,dr_track,r_cmd,r_track,beta_track,ay_track,r_ratio,beta_ratio,ay_ratio
2.419999999999999929e+00,5.000000000000000278e-02,5.000000000000000000e-01,3.115591045948422622e-01,-2.623713877053592380e+00,4.885350305510730018e-01,-5.247427700600830036e+01,2.623713865895462294e-01,6.146496814328911151e-03,5.247427731752715374e+00
2.430000000000000160e+00,5.000000000000000278e-02,5.000000000000000000e-01,3.115591045948422622e-01,-2.623713875998254341e+00,4.885350307743723808e-01,-5.247427706004563674e+01,2.623713865874703344e-01,6.146496814319861966e-03,5.247427731753095514e+00
2.439999999999999947e+00,5.000000000000000278e-02,5.000000000000000000e-01,3.115591045948422622e-01,-2.623713875012495755e+00,4.885350309660406176e-01,-5.247427710635725617e+01,2.623713865856531768e-01,6.146496814327691641e-03,5.247427731749550794e+00
2.450000000000000178e+00,5.000000000000000278e-02,5.000000000000000000e-01,3.115591045948422622e-01,-2.623713874096518239e+00,4.885350311299453407e-01,-5.247427714589558434e+01,2.623713865840669457e-01,6.146496814348635825e-03,5.247427731742982715e+00
2.459999999999999964e+00,5.000000000000000278e-02,5.000000000000000000e-01,3.115591045948422622e-01,-2.623713873249402972e+00,4.885350312695480590e-01,-5.247427717951202908e+01,2.623713865826862723e-01,6.146496814379540791e-03,5.247427731734144452e+00
2.470000000000000195e+00,5.000000000000000278e-02,5.000000000000000000e-01,3.115591045948422622e-01,-2.623713872469366493e+00,4.885350313879384121e-01,-5.247427720796564188e+01,2.623713865814881196e-01,6.146496814417780168e-03,5.247427731723663946e+00
2.479999999999999982e+00,5.000000000000000278e-02,5.000000000000000000e-01,3.115591045948422622e-01,-2.623713871753974303e+00,4.885350314878667555e-01,-5.247427723193142413e+01,2.623713865804516154e-01,6.146496814461180347e-03,5.247427731712056342e+00
2.490000000000000213e+00,5.000000000000000278e-02,5.000000000000000000e-01,3.115591045948422622e-01,-2.623713871100318951e+00,4.885350315717748582e-01,-5.247427725200794413e+01,2.623713865795578859e-01,6.146496814507957165e-03,5.247427731699744413e+00
2.500000000000000000e+00,5.000000000000000278e-02,5.000000000000000000e-01,3.115591045948422622e-01,-2.623713870505168355e+00,4.885350316418248240e-01,-5.247427726872465570e+01,2.623713865787898891e-01,6.146496814556660394e-03,5.247427731687070107e+00
2.510000000000000231e+00,5.000000000000000278e-02,5.000000000000000000e-01,3.115591045948422622e-01,-2.623713869965083489e+00,4.885350316999261255e-01,-5.247427728254856305e+01,2.623713865781323595e-01,6.146496814606121697e-03,5.247427731674306983e+00
2.520000000000000018e+00,5.000000000000000278e-02,5.000000000000000000e-01,3.115591045948422622e-01,-2.623713869476518745e+00,4.885350317477605286e-01,-5.247427729389062989e+01,2.623713865775715859e-01,6.146496814655413865e-03,5.247427731661672645e+00
2.530000000000000249e+00,5.000000000000000278e-02,5.000000000000000000e-01,3.115591045948422622e-01,-2.623713869035896984e+00,4.885350317868053516e-01,-5.247427730311136429e+01,2.623713865770953557e-01,6.146496814703812650e-03,5.247427731649332294e+00
2.540000000000000036e+00,5.000000000000000278e-02,5.000000000000000000e-01,3.115591045948422622e-01,-2.623713868639673930e+00,4.885350318183547813e-01,-5.247427731052624011e+01,2.623713865766927333e-01,6.146496814750763808e-03,5.247427731637415604e+00
2.550000000000000266e+00,5.000000000000000278e-02,5.000000000000000000e-01,3.115591045948422622e-01,-2.623713868284384798e+00,4.885350318435394135e-01,-5.247427731641050741e+01,2.623713865763541153e-01,6.146496814795854476e-03,5.247427731626012282e+00
2.560000000000000053e+00,5.000000000000000278e-02,5.000000000000000000e-01,3.115591045948422622e-01,-2.623713867966679825e+00,4.885350318633441269e-01,-5.247427732100369013e+01,2.623713865760708974e-01,6.146496814838790616e-03,5.247427731615189828e+00
2.569999999999999840e+00,5.000000000000000278e-02,5.000000000000000000e-01,3.115591045948422622e-01,-2.623713867683352685e+00,4.885350318786242929e-01,-5.247427732451350835e+01,2.623713865758354746e-01,6.146496814879373605e-03,5.247427731604988210e+00
2.580000000000000071e+00,5.000000000000000278e-02,5.000000000000000000e-01,3.115591045948422622e-01,-2.623713867431357816e+00,4.885350318901204858e-01,-5.247427732711961568e+01,2.623713865756411856e-01,6.146496814917485479e-03,5.247427731595432299e+00
2.589999999999999858e+00,5.000000000000000278e-02,5.000000000000000000e-01,3.115591045948422622e-01,-2.623713867207823291e+00,4.885350318984718609e-01,-5.247427732897679675e+01,2.623713865754821462e-01,6.146496814953070729e-03,5.247427731586529198e+00
2.600000000000000089e+00,5.000000000000000278e-02,5.000000000000000000e-01,3.115591045948422622e-01,-2.623713867010058376e+00,4.885350319042282563e-01,-5.247427733021800833e+01,2.623713865753531937e-01,6.146496814986125018e-03,5.247427731578275356e+00
2.609999999999999876e+00,5.000000000000000278e-02,5.000000000000000000e-01,3.115591045948422622e-01,-2.623713866835553965e+00,4.885350319078607950e-01,-5.247427733095703672e+01,2.623713865752498320e-01,6.146496815016684774e-03,5.247427731570661003e+00
2.620000000000000107e+00,5.000000000000000278e-02,5.000000000000000000e-01,3.115591045948422622e-01,-2.623713866681984364e+00,4.885350319097718219e-01,-5.247427733129084970e+01,2.623713865751681196e-01,6.146496815044816785e-03,5.247427731563662157e+00
2.629999999999999893e+00,5.000000000000000278e-02,5.000000000000000000e-01,3.115591045948422622e-01,-2.623713866547201956e+00,4.885350319103033412e-01,-5.247427733130176364e+01,2.623713865751046703e-01,6.146496815070610388e-03,5.247427731557254837e+00
2.640000000000000124e+00,5.000000000000000278e-02,5.000000000000000000e-01,3.115591045948422622e-01,-2.623713866429233210e+00,4.885350319097448990e-01,-5.247427733105928382e+01,2.623713865750565422e-01,6.146496815094172270e-03,5.247427731551410623e+00
